recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion
10,142.44,1,0,Surburban,0,Phone,Buy One Get One,0
9,280.2,1,0,Surburban,1,Phone,Buy One Get One,0
5,642.9,0,1,Surburban,1,Multichannel,Buy One Get One,0
11,219.04,1,1,Surburban,0,Phone,Discount,0
4,78.24,1,0,Surburban,0,Web,No Offer,0
2,237.53,0,1,Surburban,0,Phone,Buy One Get One,0
1,514.52,0,1,Surburban,1,Web,Discount,0
9,204.18,0,1,Surburban,0,Web,Buy One Get One,0
3,134.59,1,0,Urban,1,Phone,Buy One Get One,1
12,150.06,0,1,Surburban,0,Phone,No Offer,0
10,115.4,1,0,Urban,0,Phone,Discount,0
1,259.91,0,1,Surburban,1,Web,No Offer,0
2,428.74,1,0,Rural,0,Phone,Discount,0
7,235.14,0,1,Urban,1,Phone,Discount,0
1,80.42,0,1,Urban,1,Phone,Buy One Get One,0
6,466.29,1,0,Urban,1,Multichannel,Discount,0
8,31.52,0,1,Surburban,0,Web,Discount,0
8,66.14,1,0,Surburban,1,Phone,No Offer,0
2,66.6,1,0,Urban,1,Phone,Buy One Get One,0
4,29.99,0,1,Urban,1,Web,Buy One Get One,0
5,29.99,0,1,Surburban,0,Web,No Offer,0
11,160.04,1,0,Rural,0,Web,Discount,0
11,52.08,0,1,Urban,0,Web,Buy One Get One,0
10,77.37,1,0,Surburban,0,Phone,Buy One Get One,0
12,87.62,1,0,Urban,1,Phone,Discount,0
7,206.8,1,0,Surburban,0,Phone,Buy One Get One,0
2,289.55,0,1,Rural,0,Phone,No Offer,1
1,142.4,0,1,Surburban,0,Phone,No Offer,0
1,747.31,0,1,Rural,1,Web,Buy One Get One,0
12,271.89,1,0,Rural,0,Web,Discount,0
4,292.61,1,0,Surburban,0,Multichannel,No Offer,0
7,968.65,1,1,Surburban,1,Web,Buy One Get One,0
1,301.19,1,0,Surburban,1,Web,No Offer,0
10,36.28,1,0,Urban,1,Web,No Offer,0
1,506.51,1,0,Urban,1,Multichannel,No Offer,0
6,604.39,1,1,Urban,1,Phone,No Offer,0
3,166.0,0,1,Urban,0,Web,No Offer,0
7,406.7,0,1,Surburban,1,Phone,Discount,0
8,64.16,0,1,Surburban,0,Web,Buy One Get One,0
10,132.46,1,0,Urban,0,Phone,Buy One Get One,0
1,215.08,0,1,Surburban,0,Web,Buy One Get One,1
5,159.41,0,1,Surburban,1,Phone,Buy One Get One,1
4,770.38,0,1,Rural,1,Multichannel,No Offer,0
9,239.91,0,1,Rural,0,Phone,No Offer,0
9,135.02,1,0,Surburban,1,Web,Buy One Get One,0
1,29.99,1,0,Rural,1,Phone,Discount,0
6,29.99,1,0,Surburban,1,Web,Buy One Get One,0
6,78.69,0,1,Surburban,0,Phone,Discount,0
11,29.99,0,1,Surburban,0,Web,Buy One Get One,0
3,190.66,0,1,Surburban,1,Web,Buy One Get One,0
6,127.2,0,1,Surburban,0,Phone,No Offer,0
6,398.03,1,1,Surburban,0,Phone,No Offer,0
12,465.37,0,1,Rural,1,Multichannel,No Offer,0
3,229.42,0,1,Rural,0,Multichannel,No Offer,0
9,29.99,0,1,Surburban,0,Phone,Buy One Get One,0
10,29.99,1,0,Urban,0,Web,Buy One Get One,0
6,232.94,1,0,Surburban,1,Multichannel,Discount,0
3,29.99,1,0,Urban,0,Web,No Offer,1
7,60.02,1,0,Surburban,1,Phone,Discount,0
6,98.8,0,1,Rural,1,Phone,Discount,1
9,172.14,0,1,Urban,0,Phone,Discount,0
11,164.9,0,1,Surburban,0,Phone,Buy One Get One,0
10,333.65,0,1,Surburban,0,Web,No Offer,0
9,48.93,1,0,Rural,1,Phone,Buy One Get One,0
2,189.67,1,0,Rural,1,Web,Buy One Get One,0
6,40.24,1,0,Surburban,1,Phone,Discount,0
7,68.86,0,1,Surburban,0,Phone,No Offer,0
7,145.89,0,1,Urban,0,Phone,No Offer,0
9,157.76,1,0,Urban,0,Phone,Buy One Get One,0
7,291.88,1,0,Urban,0,Multichannel,No Offer,0
1,200.26,1,0,Surburban,0,Multichannel,No Offer,0
8,402.84,1,0,Surburban,0,Phone,No Offer,0
7,348.44,0,1,Surburban,1,Web,Discount,0
10,149.31,0,1,Rural,1,Phone,Buy One Get One,0
12,98.17,0,1,Surburban,1,Web,No Offer,0
9,44.68,1,0,Urban,0,Phone,No Offer,0
1,132.46,1,0,Urban,0,Phone,No Offer,0
4,29.99,0,1,Surburban,1,Web,Buy One Get One,0
6,113.6,1,0,Surburban,1,Phone,No Offer,0
1,137.29,0,1,Urban,0,Phone,No Offer,0
1,386.11,1,1,Urban,0,Multichannel,Discount,0
9,64.09,1,0,Surburban,0,Phone,Buy One Get One,0
6,108.83,1,0,Urban,0,Phone,Discount,0
9,199.38,0,1,Urban,1,Phone,Discount,0
10,29.99,1,0,Surburban,0,Web,Buy One Get One,0
1,681.12,1,0,Rural,1,Phone,Discount,0
10,375.34,1,0,Rural,0,Web,No Offer,0
2,102.99,0,1,Surburban,0,Phone,No Offer,0
9,89.96,1,0,Surburban,0,Web,Discount,1
1,904.58,0,1,Surburban,1,Phone,Buy One Get One,1
12,36.67,0,1,Urban,0,Web,Discount,1
7,1222.53,1,1,Rural,1,Phone,Discount,1
4,127.51,1,0,Urban,1,Web,No Offer,0
1,745.63,1,1,Urban,1,Multichannel,Buy One Get One,0
3,248.26,0,1,Surburban,1,Multichannel,Buy One Get One,0
1,111.37,0,1,Surburban,1,Web,No Offer,0
5,150.06,1,0,Rural,1,Web,Buy One Get One,0
12,29.99,1,0,Urban,1,Web,Discount,0
4,174.55,1,0,Rural,1,Web,Discount,0
3,367.27,0,1,Surburban,1,Phone,No Offer,0
6,161.43,0,1,Surburban,0,Web,Discount,1
10,29.99,1,0,Surburban,1,Web,No Offer,0
6,1462.5,1,0,Urban,1,Phone,Buy One Get One,0
5,291.17,1,0,Surburban,0,Multichannel,No Offer,0
8,29.99,0,1,Surburban,0,Phone,No Offer,1
9,29.99,0,1,Surburban,0,Phone,No Offer,0
1,368.01,0,1,Urban,0,Web,No Offer,0
2,44.37,0,1,Surburban,0,Web,Discount,0
1,585.22,1,0,Urban,1,Phone,Buy One Get One,0
10,29.99,1,0,Urban,0,Web,Buy One Get One,0
4,316.87,0,1,Urban,1,Web,Discount,0
9,29.99,0,1,Urban,1,Web,No Offer,0
4,209.79,0,1,Rural,0,Multichannel,Discount,1
11,184.17,1,0,Surburban,0,Phone,Buy One Get One,0
4,383.9,0,1,Surburban,0,Web,Buy One Get One,0
10,64.55,1,0,Surburban,1,Phone,Buy One Get One,0
4,317.96,0,1,Urban,0,Web,No Offer,0
5,135.64,1,0,Urban,0,Web,Discount,0
1,303.34,1,1,Urban,0,Web,Discount,1
2,584.37,1,0,Urban,1,Multichannel,Discount,1
4,72.38,1,0,Rural,1,Web,Buy One Get One,1
6,569.14,0,1,Surburban,1,Web,No Offer,0
9,257.6,1,1,Urban,1,Phone,No Offer,0
3,1118.27,1,1,Surburban,1,Multichannel,Buy One Get One,0
2,243.5,1,1,Surburban,0,Phone,Discount,0
6,105.87,1,0,Surburban,1,Web,Discount,0
7,56.46,1,0,Urban,1,Web,Buy One Get One,0
1,215.23,1,0,Urban,1,Multichannel,Buy One Get One,0
3,454.0,0,1,Urban,0,Multichannel,Discount,0
1,406.33,0,1,Surburban,0,Web,Discount,0
8,286.25,0,1,Urban,1,Multichannel,Buy One Get One,0
