state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,metric_used,method_name,year,units_of_measure,event_type,observation_count,observation_percent,completeness_indicator,valid_day_count,required_day_count,exceptional_data_count,null_data_count,certification_indicator,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
20,57,1,82134,1,37.771964,-100.01819,WGS84,Molybdenum PM10 STP,24 HOUR,Observed Values,HI-VOL-SA/GMW-1200 - EMISSION SPECTRA ICAP,1997,Nanograms/cubic meter (25 C),No Events,47,77,N,47,61,0,0,Certification not required,0,0.170213,0.731857,4.0,1997-01-28 00:00:00,3.0,1997-10-13 00:00:00,1.0,1997-11-06 00:00:00,0.0,1997-01-04 00:00:00,4.0,4.0,1.0,0.0,0.0,0.0,0.0,DODGE CITY,PUMP STATION 2100 1ST AVE,Kansas,Ford,Dodge City,Dodge City KS,2012-08-11
15,1,5,88320,1,19.4308,-155.2578,WGS84,OC PM2.5 LC TOR,24 HOUR,Observed Values,IMPROVE - OC1+OC2+OC3+OC4+OP,2008,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,6,Certification not required,0,0.1325,0.234676,2.12,2008-02-27 00:00:00,0.83,2008-07-26 00:00:00,0.7,2008-03-01 00:00:00,0.61,2008-04-30 00:00:00,0.83,0.7,0.43,0.27,0.16,0.09,-0.01,Hawaii Volcanoes NP - Kilauea Visitors Center,Hawaii Volcanoes National Park HI 96718,Hawaii,Hawaii,Hawaii Volcanoes National Park,Hilo HI,2016-03-09
04,7,8100,88203,1,34.090866,-110.942801,WGS84,Chloride PM2.5 LC,24 HOUR,Observed Values,IMPROVE Module B with Cyclone Inlet and Glycerin/Na2CO3-Nylon Filter 10.8 sq. cm. - Ion Chromatography,2009,Micrograms/cubic meter (LC),No Events,97,100,Y,55,61,0,25,Certification not required,0,0.020211,0.03012,0.1467,2009-04-28 00:00:00,0.1254,2009-05-01 00:00:00,0.1014,2009-08-11 00:00:00,0.0938,2009-04-10 00:00:00,0.1467,0.1254,0.0928,0.0617,0.0205,0.0095,-0.0005,Sierra Ancha,Sierra Ancha,Arizona,Gila,Young,Payson AZ,2016-03-09
28,47,8,88184,5,30.390369,-89.049778,WGS84,Sodium PM2.5 LC,24 HOUR,Observed Values,Met One SASS Teflon - Energy Dispersive XRF,2007,Micrograms/cubic meter (LC),No Events,100,27,N,100,365,0,2,Certification not required,0,0.12502,0.174574,0.745,2007-05-15 00:00:00,0.744,2007-10-18 00:00:00,0.622,2007-01-12 00:00:00,0.605,2007-03-01 00:00:00,0.745,0.744,0.514,0.417,0.164,0.056,0.0,Gulfport Youth Court,47 Maple Street,Mississippi,Harrison,Gulfport,Gulfport-Biloxi-Pascagoula MS,2016-03-22
41,35,4,88166,5,42.190296,-121.731369,WGS84,Silver PM2.5 LC,24 HOUR,Observed Values,Met One SASS Teflon - Energy Dispersive XRF,2011,Micrograms/cubic meter (LC),No Events,60,98,Y,60,61,0,0,Certification not required,0,0.002272,0.003671,0.0163,2011-04-09 00:00:00,0.0139,2011-04-03 00:00:00,0.011,2011-09-12 00:00:00,0.0106,2011-04-15 00:00:00,0.0163,0.0139,0.011,0.00641,0.003,0.0,0.0,Klamath Falls - Peterson School,PETERSON ELEM/4856 CLINTON ST,Oregon,Klamath,Altamont,Klamath Falls OR,2016-03-09
38,15,3,68105,2,46.825425,-100.76821,WGS84,Average Ambient Temperature,24 HOUR,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Electronic,2016,Degrees Centigrade,No Events,61,100,Y,61,61,0,0,Certification not required,0,8.355738,11.259507,23.0,2016-07-23 00:00:00,22.8,2016-08-16 00:00:00,22.3,2016-08-22 00:00:00,22.3,2016-08-28 00:00:00,23.0,22.8,22.3,21.4,18.4,10.6,-5.6,BISMARCK RESIDENTIAL,1810 N 16TH STREET,North Dakota,Burleigh,Bismarck,Bismarck ND,2017-02-22
39,35,42,12128,1,41.4823,-81.708906,NAD83,Lead (TSP) STP,COMPOSITE DATA,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,2006,Micrograms/cubic meter (25 C),No Events,12,100,Y,12,12,0,0,Requested but denied,0,0.014292,0.0054,0.028,2006-04-01 00:00:00,0.019,2006-06-01 00:00:00,0.016,2006-10-01 00:00:00,0.015,2006-01-01 00:00:00,0.028,0.028,0.028,0.019,0.016,0.015,0.0099,FS  4,3136 LORAIN AVE. F.S. 4,Ohio,Cuyahoga,Cleveland,Cleveland-Elyria OH,2013-06-29
13,245,91,88169,5,33.433349,-82.022217,WGS84,Sulfur PM2.5 LC,24 HOUR,Observed Values,Met One SASS Teflon - Energy Dispersive XRF,2010,Micrograms/cubic meter (LC),No Events,56,92,Y,55,61,0,5,Certification not required,0,1.029018,0.531159,2.76,2010-06-19 00:00:00,2.32,2010-06-13 00:00:00,2.21,2010-07-13 00:00:00,1.85,2010-08-24 00:00:00,2.76,2.32,2.21,1.81,1.32,0.942,0.446,Bungalow Road,Bungalow Road Elem School 2216 BUNGALOW RD AUGUSTA GA 30906,Georgia,Richmond,Augusta-Richmond County (Remainder),Augusta-Richmond County GA-SC,2011-04-13
06,37,5005,43230,2,33.9508,-118.43043,WGS84,3-Methylpentane,24 HOUR,Observed Values,SS CANISTER PRESSURIZED - CRYOGENIC PRECONCENTRATION GC/FID,2006,Parts per billion Carbon,No Events,61,17,N,61,365,0,0,Certified,0,3.346721,3.897688,20.97,2006-12-07 00:00:00,14.46,2006-11-19 00:00:00,11.87,2006-10-26 00:00:00,10.27,2006-12-13 00:00:00,20.97,14.46,10.27,7.8,4.0,1.69,0.63,LAX Hastings,7201 W. WESTCHESTER PARKWAY,California,Los Angeles,Los Angeles,Los Angeles-Long Beach-Anaheim CA,2010-03-07
49,11,4,43503,6,40.902967,-111.884467,WGS84,Acetaldehyde,24 HOUR,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2016,Parts per billion Carbon,No Events,59,97,Y,58,61,0,3,Certification not required,0,2.901695,1.310369,6.4,2016-02-12 00:00:00,5.8,2016-01-07 00:00:00,5.1,2016-08-04 00:00:00,5.0,2016-01-13 00:00:00,6.4,5.8,5.1,4.4,3.9,2.7,1.0,Bountiful Viewmont,171 WEST 1370 NORTH BOUNTIFUL UTAH,Utah,Davis,Bountiful,Ogden-Clearfield UT,2017-03-28
42,101,48,88324,5,39.991389,-75.080833,WGS84,OC1 PM2.5 LC,24 HOUR,Observed Values,URG 3000N w/Pall Quartz filter and Cyclone Inlet - IMPROVE TOR w/STN Urban Adjustment,2016,Micrograms/cubic meter (LC),No Events,55,45,N,55,122,0,16,Certification not required,0,0.132655,0.257025,1.508,2016-01-07 00:00:00,1.033,2016-01-28 00:00:00,0.5,2016-05-27 00:00:00,0.391,2016-06-20 00:00:00,1.508,1.033,0.5,0.33,0.131,0.057,0.0,North East Waste (NEW),3000 LEWIS ST. (NEAR BATH ST.) Philadelphia PA. 19137,Pennsylvania,Philadelphia,Philadelphia,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,2017-05-17
44,7,26,43235,2,41.874668,-71.379971,NAD83,n-Nonane,24 HOUR,Observed Values,INSTRUMENTAL - ENTECH 2000 W/ MS/FID,2008,Parts per billion Carbon,No Events,59,97,Y,59,61,0,2,Certified,0,0.330864,0.264415,1.278,2008-10-21 00:00:00,1.107,2008-01-07 00:00:00,1.098,2008-11-14 00:00:00,1.035,2008-10-27 00:00:00,1.278,1.107,1.098,0.774,0.396,0.243,0.117,Vernon St Pawtucket,VERNON STREET TRAILER,Rhode Island,Providence,Pawtucket,Providence-Warwick RI-MA,2010-03-07
40,21,9002,62201,1,35.85408,-94.985964,WGS84,Relative Humidity,1 HOUR,Observed Values,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,2012,Percent relative humidity,No Events,8727,99,Y,364,366,0,57,Requested but not yet concurred,0,60.792483,19.005606,93.0,2012-08-19 01:00:00,93.0,2012-08-19 02:00:00,93.0,2012-08-19 03:00:00,93.0,2012-08-19 04:00:00,91.0,90.0,88.0,86.0,77.0,63.0,33.0,TAHLEQUAH SHELTER,P.O. BOX 948   TAHLEQUAH OK  74464,Oklahoma,Cherokee,Park Hill,Tahlequah OK,2013-01-18
