name,pokedex id,height,weight,type,hp,attack,defense,sp atk,sp def,speed
bulbasaur,1,7,69,grass,45,49,49,65,65,45
ivysaur,2,10,130,grass,60,62,63,80,80,60
venusaur,3,20,1000,grass,80,82,83,100,100,80
charmander,4,6,85,fire,39,52,43,60,50,65
charmeleon,5,11,190,fire,58,64,58,80,65,80
charizard,6,17,905,fire,78,84,78,109,85,100
squirtle,7,5,90,water,44,48,65,50,64,43
wartortle,8,10,225,water,59,63,80,65,80,58
blastoise,9,16,855,water,79,83,100,85,105,78
caterpie,10,3,29,bug,45,30,35,20,20,45
metapod,11,7,99,bug,50,20,55,25,25,30
butterfree,12,11,320,bug,60,45,50,90,80,70
weedle,13,3,32,bug,40,35,30,20,20,50
kakuna,14,6,100,bug,45,25,50,25,25,35
beedrill,15,10,295,bug,65,90,40,45,80,75
pidgey,16,3,18,normal,40,45,40,35,35,56
pidgeotto,17,11,300,normal,63,60,55,50,50,71
pidgeot,18,15,395,normal,83,80,75,70,70,101
rattata,19,3,35,normal,30,56,35,25,35,72
raticate,20,7,185,normal,55,81,60,50,70,97
spearow,21,3,20,normal,40,60,30,31,31,70
fearow,22,12,380,normal,65,90,65,61,61,100
ekans,23,20,69,poison,35,60,44,40,54,55
arbok,24,35,650,poison,60,95,69,65,79,80
pikachu,25,4,60,electric,35,55,40,50,50,90
raichu,26,8,300,electric,60,90,55,90,80,110
sandshrew,27,6,120,ground,50,75,85,20,30,40
sandslash,28,10,295,ground,75,100,110,45,55,65
nidoran-f,29,4,70,poison,55,47,52,40,40,41
nidorina,30,8,200,poison,70,62,67,55,55,56
nidoqueen,31,13,600,poison,90,92,87,75,85,76
nidoran-m,32,5,90,poison,46,57,40,40,40,50
nidorino,33,9,195,poison,61,72,57,55,55,65
nidoking,34,14,620,poison,81,102,77,85,75,85
clefairy,35,6,75,fairy,70,45,48,60,65,35
clefable,36,13,400,fairy,95,70,73,95,90,60
vulpix,37,6,99,fire,38,41,40,50,65,65
ninetales,38,11,199,fire,73,76,75,81,100,100
jigglypuff,39,5,55,normal,115,45,20,45,25,20
wigglytuff,40,10,120,normal,140,70,45,85,50,45
zubat,41,8,75,poison,40,45,35,30,40,55
golbat,42,16,550,poison,75,80,70,65,75,90
oddish,43,5,54,grass,45,50,55,75,65,30
gloom,44,8,86,grass,60,65,70,85,75,40
vileplume,45,12,186,grass,75,80,85,110,90,50
paras,46,3,54,bug,35,70,55,45,55,25
parasect,47,10,295,bug,60,95,80,60,80,30
venonat,48,10,300,bug,60,55,50,40,55,45
venomoth,49,15,125,bug,70,65,60,90,75,90
diglett,50,2,8,ground,10,55,25,35,45,95
dugtrio,51,7,333,ground,35,100,50,50,70,120
meowth,52,4,42,normal,40,45,35,40,40,90
persian,53,10,320,normal,65,70,60,65,65,115
psyduck,54,8,196,water,50,52,48,65,50,55
golduck,55,17,766,water,80,82,78,95,80,85
mankey,56,5,280,fighting,40,80,35,35,45,70
primeape,57,10,320,fighting,65,105,60,60,70,95
growlithe,58,7,190,fire,55,70,45,70,50,60
arcanine,59,19,1550,fire,90,110,80,100,80,95
poliwag,60,6,124,water,40,50,40,40,40,90
poliwhirl,61,10,200,water,65,65,65,50,50,90
poliwrath,62,13,540,water,90,95,95,70,90,70
abra,63,9,195,psychic,25,20,15,105,55,90
kadabra,64,13,565,psychic,40,35,30,120,70,105
alakazam,65,15,480,psychic,55,50,45,135,95,120
machop,66,8,195,fighting,70,80,50,35,35,35
machoke,67,15,705,fighting,80,100,70,50,60,45
machamp,68,16,1300,fighting,90,130,80,65,85,55
bellsprout,69,7,40,grass,50,75,35,70,30,40
weepinbell,70,10,64,grass,65,90,50,85,45,55
victreebel,71,17,155,grass,80,105,65,100,70,70
tentacool,72,9,455,water,40,40,35,50,100,70
tentacruel,73,16,550,water,80,70,65,80,120,100
geodude,74,4,200,rock,40,80,100,30,30,20
graveler,75,10,1050,rock,55,95,115,45,45,35
golem,76,14,3000,rock,80,120,130,55,65,45
ponyta,77,10,300,fire,50,85,55,65,65,90
rapidash,78,17,950,fire,65,100,70,80,80,105
slowpoke,79,12,360,water,90,65,65,40,40,15
slowbro,80,16,785,water,95,75,110,100,80,30
magnemite,81,3,60,electric,25,35,70,95,55,45
magneton,82,10,600,electric,50,60,95,120,70,70
farfetchd,83,8,150,normal,52,90,55,58,62,60
doduo,84,14,392,normal,35,85,45,35,35,75
dodrio,85,18,852,normal,60,110,70,60,60,110
seel,86,11,900,water,65,45,55,45,70,45
dewgong,87,17,1200,water,90,70,80,70,95,70
grimer,88,9,300,poison,80,80,50,40,50,25
muk,89,12,300,poison,105,105,75,65,100,50
shellder,90,3,40,water,30,65,100,45,25,40
cloyster,91,15,1325,water,50,95,180,85,45,70
gastly,92,13,1,ghost,30,35,30,100,35,80
haunter,93,16,1,ghost,45,50,45,115,55,95
gengar,94,15,405,ghost,60,65,60,130,75,110
onix,95,88,2100,rock,35,45,160,30,45,70
drowzee,96,10,324,psychic,60,48,45,43,90,42
hypno,97,16,756,psychic,85,73,70,73,115,67
krabby,98,4,65,water,30,105,90,25,25,50
kingler,99,13,600,water,55,130,115,50,50,75
voltorb,100,5,104,electric,40,30,50,55,55,100
electrode,101,12,666,electric,60,50,70,80,80,150
exeggcute,102,4,25,grass,60,40,80,60,45,40
exeggutor,103,20,1200,grass,95,95,85,125,75,55
cubone,104,4,65,ground,50,50,95,40,50,35
marowak,105,10,450,ground,60,80,110,50,80,45
hitmonlee,106,15,498,fighting,50,120,53,35,110,87
hitmonchan,107,14,502,fighting,50,105,79,35,110,76
lickitung,108,12,655,normal,90,55,75,60,75,30
koffing,109,6,10,poison,40,65,95,60,45,35
weezing,110,12,95,poison,65,90,120,85,70,60
rhyhorn,111,10,1150,ground,80,85,95,30,30,25
rhydon,112,19,1200,ground,105,130,120,45,45,40
chansey,113,11,346,normal,250,5,5,35,105,50
tangela,114,10,350,grass,65,55,115,100,40,60
kangaskhan,115,22,800,normal,105,95,80,40,80,90
horsea,116,4,80,water,30,40,70,70,25,60
seadra,117,12,250,water,55,65,95,95,45,85
goldeen,118,6,150,water,45,67,60,35,50,63
seaking,119,13,390,water,80,92,65,65,80,68
staryu,120,8,345,water,30,45,55,70,55,85
starmie,121,11,800,water,60,75,85,100,85,115
mr-mime,122,13,545,psychic,40,45,65,100,120,90
scyther,123,15,560,bug,70,110,80,55,80,105
jynx,124,14,406,ice,65,50,35,115,95,95
electabuzz,125,11,300,electric,65,83,57,95,85,105
magmar,126,13,445,fire,65,95,57,100,85,93
pinsir,127,15,550,bug,65,125,100,55,70,85
tauros,128,14,884,normal,75,100,95,40,70,110
magikarp,129,9,100,water,20,10,55,15,20,80
gyarados,130,65,2350,water,95,125,79,60,100,81
lapras,131,25,2200,water,130,85,80,85,95,60
ditto,132,3,40,normal,48,48,48,48,48,48
eevee,133,3,65,normal,55,55,50,45,65,55
vaporeon,134,10,290,water,130,65,60,110,95,65
jolteon,135,8,245,electric,65,65,60,110,95,130
flareon,136,9,250,fire,65,130,60,95,110,65
porygon,137,8,365,normal,65,60,70,85,75,40
omanyte,138,4,75,rock,35,40,100,90,55,35
omastar,139,10,350,rock,70,60,125,115,70,55
kabuto,140,5,115,rock,30,80,90,55,45,55
kabutops,141,13,405,rock,60,115,105,65,70,80
aerodactyl,142,18,590,rock,80,105,65,60,75,130
snorlax,143,21,4600,normal,160,110,65,65,110,30
articuno,144,17,554,ice,90,85,100,95,125,85
zapdos,145,16,526,electric,90,90,85,125,90,100
moltres,146,20,600,fire,90,100,90,125,85,90
dratini,147,18,33,dragon,41,64,45,50,50,50
dragonair,148,40,165,dragon,61,84,65,70,70,70
dragonite,149,22,2100,dragon,91,134,95,100,100,80
mewtwo,150,20,1220,psychic,106,110,90,154,90,130
mew,151,4,40,psychic,100,100,100,100,100,100
chikorita,152,9,64,grass,45,49,65,49,65,45
bayleef,153,12,158,grass,60,62,80,63,80,60
meganium,154,18,1005,grass,80,82,100,83,100,80
cyndaquil,155,5,79,fire,39,52,43,60,50,65
quilava,156,9,190,fire,58,64,58,80,65,80
typhlosion,157,17,795,fire,78,84,78,109,85,100
totodile,158,6,95,water,50,65,64,44,48,43
croconaw,159,11,250,water,65,80,80,59,63,58
feraligatr,160,23,888,water,85,105,100,79,83,78
sentret,161,8,60,normal,35,46,34,35,45,20
furret,162,18,325,normal,85,76,64,45,55,90
hoothoot,163,7,212,normal,60,30,30,36,56,50
noctowl,164,16,408,normal,100,50,50,86,96,70
ledyba,165,10,108,bug,40,20,30,40,80,55
ledian,166,14,356,bug,55,35,50,55,110,85
spinarak,167,5,85,bug,40,60,40,40,40,30
ariados,168,11,335,bug,70,90,70,60,70,40
crobat,169,18,750,poison,85,90,80,70,80,130
chinchou,170,5,120,water,75,38,38,56,56,67
lanturn,171,12,225,water,125,58,58,76,76,67
pichu,172,3,20,electric,20,40,15,35,35,60
cleffa,173,3,30,fairy,50,25,28,45,55,15
igglybuff,174,3,10,normal,90,30,15,40,20,15
togepi,175,3,15,fairy,35,20,65,40,65,20
togetic,176,6,32,fairy,55,40,85,80,105,40
natu,177,2,20,psychic,40,50,45,70,45,70
xatu,178,15,150,psychic,65,75,70,95,70,95
mareep,179,6,78,electric,55,40,40,65,45,35
flaaffy,180,8,133,electric,70,55,55,80,60,45
ampharos,181,14,615,electric,90,75,85,115,90,55
bellossom,182,4,58,grass,75,80,95,90,100,50
marill,183,4,85,water,70,20,50,20,50,40
azumarill,184,8,285,water,100,50,80,60,80,50
sudowoodo,185,12,380,rock,70,100,115,30,65,30
politoed,186,11,339,water,90,75,75,90,100,70
hoppip,187,4,5,grass,35,35,40,35,55,50
skiploom,188,6,10,grass,55,45,50,45,65,80
jumpluff,189,8,30,grass,75,55,70,55,95,110
aipom,190,8,115,normal,55,70,55,40,55,85
sunkern,191,3,18,grass,30,30,30,30,30,30
sunflora,192,8,85,grass,75,75,55,105,85,30
yanma,193,12,380,bug,65,65,45,75,45,95
wooper,194,4,85,water,55,45,45,25,25,15
quagsire,195,14,750,water,95,85,85,65,65,35
espeon,196,9,265,psychic,65,65,60,130,95,110
umbreon,197,10,270,dark,95,65,110,60,130,65
murkrow,198,5,21,dark,60,85,42,85,42,91
slowking,199,20,795,water,95,75,80,100,110,30
misdreavus,200,7,10,ghost,60,60,60,85,85,85
unown,201,5,50,psychic,48,72,48,72,48,48
wobbuffet,202,13,285,psychic,190,33,58,33,58,33
girafarig,203,15,415,normal,70,80,65,90,65,85
pineco,204,6,72,bug,50,65,90,35,35,15
forretress,205,12,1258,bug,75,90,140,60,60,40
dunsparce,206,15,140,normal,100,70,70,65,65,45
gligar,207,11,648,ground,65,75,105,35,65,85
steelix,208,92,4000,steel,75,85,200,55,65,30
snubbull,209,6,78,fairy,60,80,50,40,40,30
granbull,210,14,487,fairy,90,120,75,60,60,45
qwilfish,211,5,39,water,65,95,85,55,55,85
scizor,212,18,1180,bug,70,130,100,55,80,65
shuckle,213,6,205,bug,20,10,230,10,230,5
heracross,214,15,540,bug,80,125,75,40,95,85
sneasel,215,9,280,dark,55,95,55,35,75,115
teddiursa,216,6,88,normal,60,80,50,50,50,40
ursaring,217,18,1258,normal,90,130,75,75,75,55
slugma,218,7,350,fire,40,40,40,70,40,20
magcargo,219,8,550,fire,60,50,120,90,80,30
swinub,220,4,65,ice,50,50,40,30,30,50
piloswine,221,11,558,ice,100,100,80,60,60,50
corsola,222,6,50,water,65,55,95,65,95,35
remoraid,223,6,120,water,35,65,35,65,35,65
octillery,224,9,285,water,75,105,75,105,75,45
delibird,225,9,160,ice,45,55,45,65,45,75
mantine,226,21,2200,water,85,40,70,80,140,70
skarmory,227,17,505,steel,65,80,140,40,70,70
houndour,228,6,108,dark,45,60,30,80,50,65
houndoom,229,14,350,dark,75,90,50,110,80,95
kingdra,230,18,1520,water,75,95,95,95,95,85
phanpy,231,5,335,ground,90,60,60,40,40,40
donphan,232,11,1200,ground,90,120,120,60,60,50
porygon2,233,6,325,normal,85,80,90,105,95,60
stantler,234,14,712,normal,73,95,62,85,65,85
smeargle,235,12,580,normal,55,20,35,20,45,75
tyrogue,236,7,210,fighting,35,35,35,35,35,35
hitmontop,237,14,480,fighting,50,95,95,35,110,70
smoochum,238,4,60,ice,45,30,15,85,65,65
elekid,239,6,235,electric,45,63,37,65,55,95
magby,240,7,214,fire,45,75,37,70,55,83
miltank,241,12,755,normal,95,80,105,40,70,100
blissey,242,15,468,normal,255,10,10,75,135,55
raikou,243,19,1780,electric,90,85,75,115,100,115
entei,244,21,1980,fire,115,115,85,90,75,100
suicune,245,20,1870,water,100,75,115,90,115,85
larvitar,246,6,720,rock,50,64,50,45,50,41
pupitar,247,12,1520,rock,70,84,70,65,70,51
tyranitar,248,20,2020,rock,100,134,110,95,100,61
lugia,249,52,2160,psychic,106,90,130,90,154,110
ho-oh,250,38,1990,fire,106,130,90,110,154,90
celebi,251,6,50,psychic,100,100,100,100,100,100
treecko,252,5,50,grass,40,45,35,65,55,70
grovyle,253,9,216,grass,50,65,45,85,65,95
sceptile,254,17,522,grass,70,85,65,105,85,120
torchic,255,4,25,fire,45,60,40,70,50,45
combusken,256,9,195,fire,60,85,60,85,60,55
blaziken,257,19,520,fire,80,120,70,110,70,80
mudkip,258,4,76,water,50,70,50,50,50,40
marshtomp,259,7,280,water,70,85,70,60,70,50
swampert,260,15,819,water,100,110,90,85,90,60
poochyena,261,5,136,dark,35,55,35,30,30,35
mightyena,262,10,370,dark,70,90,70,60,60,70
zigzagoon,263,4,175,normal,38,30,41,30,41,60
linoone,264,5,325,normal,78,70,61,50,61,100
wurmple,265,3,36,bug,45,45,35,20,30,20
silcoon,266,6,100,bug,50,35,55,25,25,15
beautifly,267,10,284,bug,60,70,50,100,50,65
cascoon,268,7,115,bug,50,35,55,25,25,15
dustox,269,12,316,bug,60,50,70,50,90,65
lotad,270,5,26,water,40,30,30,40,50,30
lombre,271,12,325,water,60,50,50,60,70,50
ludicolo,272,15,550,water,80,70,70,90,100,70
seedot,273,5,40,grass,40,40,50,30,30,30
nuzleaf,274,10,280,grass,70,70,40,60,40,60
shiftry,275,13,596,grass,90,100,60,90,60,80
taillow,276,3,23,normal,40,55,30,30,30,85
swellow,277,7,198,normal,60,85,60,75,50,125
wingull,278,6,95,water,40,30,30,55,30,85
pelipper,279,12,280,water,60,50,100,95,70,65
ralts,280,4,66,psychic,28,25,25,45,35,40
kirlia,281,8,202,psychic,38,35,35,65,55,50
gardevoir,282,16,484,psychic,68,65,65,125,115,80
surskit,283,5,17,bug,40,30,32,50,52,65
masquerain,284,8,36,bug,70,60,62,100,82,80
shroomish,285,4,45,grass,60,40,60,40,60,35
breloom,286,12,392,grass,60,130,80,60,60,70
slakoth,287,8,240,normal,60,60,60,35,35,30
vigoroth,288,14,465,normal,80,80,80,55,55,90
slaking,289,20,1305,normal,150,160,100,95,65,100
nincada,290,5,55,bug,31,45,90,30,30,40
ninjask,291,8,120,bug,61,90,45,50,50,160
shedinja,292,8,12,bug,1,90,45,30,30,40
whismur,293,6,163,normal,64,51,23,51,23,28
loudred,294,10,405,normal,84,71,43,71,43,48
exploud,295,15,840,normal,104,91,63,91,73,68
makuhita,296,10,864,fighting,72,60,30,20,30,25
hariyama,297,23,2538,fighting,144,120,60,40,60,50
azurill,298,2,20,normal,50,20,40,20,40,20
nosepass,299,10,970,rock,30,45,135,45,90,30
skitty,300,6,110,normal,50,45,45,35,35,50
delcatty,301,11,326,normal,70,65,65,55,55,90
sableye,302,5,110,dark,50,75,75,65,65,50
mawile,303,6,115,steel,50,85,85,55,55,50
aron,304,4,600,steel,50,70,100,40,40,30
lairon,305,9,1200,steel,60,90,140,50,50,40
aggron,306,21,3600,steel,70,110,180,60,60,50
meditite,307,6,112,fighting,30,40,55,40,55,60
medicham,308,13,315,fighting,60,60,75,60,75,80
electrike,309,6,152,electric,40,45,40,65,40,65
manectric,310,15,402,electric,70,75,60,105,60,105
plusle,311,4,42,electric,60,50,40,85,75,95
minun,312,4,42,electric,60,40,50,75,85,95
volbeat,313,7,177,bug,65,73,75,47,85,85
illumise,314,6,177,bug,65,47,75,73,85,85
roselia,315,3,20,grass,50,60,45,100,80,65
gulpin,316,4,103,poison,70,43,53,43,53,40
swalot,317,17,800,poison,100,73,83,73,83,55
carvanha,318,8,208,water,45,90,20,65,20,65
sharpedo,319,18,888,water,70,120,40,95,40,95
wailmer,320,20,1300,water,130,70,35,70,35,60
wailord,321,145,3980,water,170,90,45,90,45,60
numel,322,7,240,fire,60,60,40,65,45,35
camerupt,323,19,2200,fire,70,100,70,105,75,40
torkoal,324,5,804,fire,70,85,140,85,70,20
spoink,325,7,306,psychic,60,25,35,70,80,60
grumpig,326,9,715,psychic,80,45,65,90,110,80
spinda,327,11,50,normal,60,60,60,60,60,60
trapinch,328,7,150,ground,45,100,45,45,45,10
vibrava,329,11,153,ground,50,70,50,50,50,70
flygon,330,20,820,ground,80,100,80,80,80,100
cacnea,331,4,513,grass,50,85,40,85,40,35
cacturne,332,13,774,grass,70,115,60,115,60,55
swablu,333,4,12,normal,45,40,60,40,75,50
altaria,334,11,206,dragon,75,70,90,70,105,80
zangoose,335,13,403,normal,73,115,60,60,60,90
seviper,336,27,525,poison,73,100,60,100,60,65
lunatone,337,10,1680,rock,90,55,65,95,85,70
solrock,338,12,1540,rock,90,95,85,55,65,70
barboach,339,4,19,water,50,48,43,46,41,60
whiscash,340,9,236,water,110,78,73,76,71,60
corphish,341,6,115,water,43,80,65,50,35,35
crawdaunt,342,11,328,water,63,120,85,90,55,55
baltoy,343,5,215,ground,40,40,55,40,70,55
claydol,344,15,1080,ground,60,70,105,70,120,75
lileep,345,10,238,rock,66,41,77,61,87,23
cradily,346,15,604,rock,86,81,97,81,107,43
anorith,347,7,125,rock,45,95,50,40,50,75
armaldo,348,15,682,rock,75,125,100,70,80,45
feebas,349,6,74,water,20,15,20,10,55,80
milotic,350,62,1620,water,95,60,79,100,125,81
castform,351,3,8,normal,70,70,70,70,70,70
kecleon,352,10,220,normal,60,90,70,60,120,40
shuppet,353,6,23,ghost,44,75,35,63,33,45
banette,354,11,125,ghost,64,115,65,83,63,65
duskull,355,8,150,ghost,20,40,90,30,90,25
dusclops,356,16,306,ghost,40,70,130,60,130,25
tropius,357,20,1000,grass,99,68,83,72,87,51
chimecho,358,6,10,psychic,75,50,80,95,90,65
absol,359,12,470,dark,65,130,60,75,60,75
wynaut,360,6,140,psychic,95,23,48,23,48,23
