location,iso_code,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
Africa,OWID_AFR,2022-05-01,27.0,2.0,0.0,0.0,0.29,0.0,0.0,0.019,0.0,0.0,0.0014,0.0
Africa,OWID_AFR,2022-05-04,27.0,2.0,0.0,0.0,0.29,0.0,0.0,0.019,0.0,0.0,0.0014,0.0
Africa,OWID_AFR,2022-05-07,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0014,0.0
Africa,OWID_AFR,2022-05-10,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0014,0.0
Africa,OWID_AFR,2022-05-13,31.0,2.0,4.0,0.0,0.57,0.0,0.003,0.022,0.0,0.0,0.0014,0.0
Africa,OWID_AFR,2022-05-16,31.0,2.0,0.0,0.0,0.57,0.0,0.0,0.022,0.0,0.0,0.0014,0.0
Africa,OWID_AFR,2022-05-19,31.0,2.0,0.0,0.0,0.57,0.0,0.0,0.022,0.0,0.0,0.0014,0.0
Africa,OWID_AFR,2022-05-22,43.0,2.0,0.0,0.0,1.71,0.0,0.0,0.03,0.001,0.0,0.0014,0.0
Africa,OWID_AFR,2022-05-25,43.0,2.0,0.0,0.0,1.71,0.0,0.0,0.03,0.001,0.0,0.0014,0.0
Africa,OWID_AFR,2022-05-28,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0014,0.0
Africa,OWID_AFR,2022-05-31,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0014,0.0
Africa,OWID_AFR,2022-06-03,62.0,3.0,18.0,1.0,2.71,0.14,0.013,0.043,0.002,0.0007,0.0021,0.0001
Africa,OWID_AFR,2022-06-06,62.0,3.0,0.0,0.0,2.71,0.14,0.0,0.043,0.002,0.0,0.0021,0.0001
Africa,OWID_AFR,2022-06-09,62.0,3.0,0.0,0.0,2.57,0.14,0.0,0.043,0.002,0.0,0.0021,0.0001
Africa,OWID_AFR,2022-06-12,77.0,3.0,0.0,0.0,2.14,0.0,0.0,0.054,0.001,0.0,0.0021,0.0
Africa,OWID_AFR,2022-06-15,77.0,3.0,0.0,0.0,2.14,0.0,0.0,0.054,0.001,0.0,0.0021,0.0
Africa,OWID_AFR,2022-06-18,176.0,3.0,0.0,0.0,14.14,0.0,0.0,0.123,0.01,0.0,0.0021,0.0
Africa,OWID_AFR,2022-06-21,176.0,3.0,0.0,0.0,14.14,0.0,0.0,0.123,0.01,0.0,0.0021,0.0
Africa,OWID_AFR,2022-06-24,202.0,3.0,26.0,0.0,3.71,0.0,0.018,0.142,0.003,0.0,0.0021,0.0
Africa,OWID_AFR,2022-06-27,202.0,3.0,0.0,0.0,3.71,0.0,0.0,0.142,0.003,0.0,0.0021,0.0
Africa,OWID_AFR,2022-06-30,202.0,3.0,0.0,0.0,3.71,0.0,0.0,0.142,0.003,0.0,0.0021,0.0
Africa,OWID_AFR,2022-07-03,232.0,4.0,0.0,0.0,4.29,0.14,0.0,0.163,0.003,0.0,0.0028,0.0001
Africa,OWID_AFR,2022-07-06,232.0,4.0,0.0,0.0,4.29,0.14,0.0,0.163,0.003,0.0,0.0028,0.0001
Africa,OWID_AFR,2022-07-09,254.0,4.0,0.0,0.0,3.14,0.0,0.0,0.178,0.002,0.0,0.0028,0.0
Africa,OWID_AFR,2022-07-12,254.0,4.0,0.0,0.0,3.14,0.0,0.0,0.178,0.002,0.0,0.0028,0.0
Africa,OWID_AFR,2022-07-15,276.0,4.0,22.0,0.0,3.14,0.0,0.015,0.193,0.002,0.0,0.0028,0.0
Africa,OWID_AFR,2022-07-18,276.0,4.0,0.0,0.0,3.14,0.0,0.0,0.193,0.002,0.0,0.0028,0.0
Africa,OWID_AFR,2022-07-21,276.0,4.0,0.0,0.0,3.14,0.0,0.0,0.193,0.002,0.0,0.0028,0.0
Africa,OWID_AFR,2022-07-24,292.0,4.0,0.0,0.0,2.29,0.0,0.0,0.205,0.002,0.0,0.0028,0.0
Africa,OWID_AFR,2022-07-27,292.0,4.0,0.0,0.0,2.29,0.0,0.0,0.205,0.002,0.0,0.0028,0.0
Africa,OWID_AFR,2022-07-30,332.0,5.0,0.0,0.0,5.71,0.14,0.0,0.233,0.004,0.0,0.0035,0.0001
Africa,OWID_AFR,2022-08-02,333.0,5.0,0.0,0.0,5.86,0.14,0.0,0.233,0.004,0.0,0.0035,0.0001
Africa,OWID_AFR,2022-08-05,354.0,8.0,21.0,3.0,3.14,0.43,0.015,0.248,0.002,0.0021,0.00561,0.0003
